model,feature,kw_p,kw_h,n,mean_correct_to_correct,mean_wrong_to_correct,mean_wrong_to_wrong,mean_correct_to_wrong,kw_p_bh
gpt-5.4-mini,claim_conjunctions,0.1274192407660686,5.695188787828438,10000,0.05952380952380952,0.061389337641357025,0.08813559322033898,0.0728476821192053,0.15775715523418016
gpt-5.4-mini,evidence_negation,0.08505591775407781,6.619795550683094,10000,0.021765271765271765,0.025848142164781908,0.04067796610169491,0.052980132450331126,0.11340789033877041
gpt-5.4-mini,evidence_numbers,5.6104773467766304e-09,41.31363355010213,10000,1.4496151996151996,1.7019386106623586,1.6305084745762712,1.8675496688741722,1.823405137702405e-08
gpt-5.4-mini,lexical_overlap,0.005144232602133633,12.77712573025885,10000,0.5998497100997949,0.6015367664344905,0.5801692375421189,0.5281721773443627,0.009224141217618928
gpt-5.4-mini,jaccard_content,1.8185356832557248e-08,38.90438074162314,10000,0.18268343417541258,0.20078004435968264,0.18162548433401227,0.1721345799523747,5.562579737017511e-08
gpt-5.4-mini,numerical_overlap,9.57251979016836e-24,110.27558728086012,10000,0.9217772967772968,0.8461227786752827,0.8757062146892655,0.8841059602649006,5.530789212097274e-23
gpt-5.4-mini,claim_entity_count,5.105626584277307e-20,92.94431649645755,10000,1.498917748917749,1.752827140549273,1.694915254237288,1.6291390728476822,2.4135689307492724e-19
gpt-5.4-mini,evidence_entity_count,0.7686735108084761,1.1348292314705997,10000,4.737373737373737,4.687399030694669,4.945762711864407,4.880794701986755,0.7837455404321717
gpt-5.4-mini,entity_overlap,0.8531882110188284,0.7844267369230246,10000,0.3509098925765593,0.32971190091545505,0.3480225988700565,0.34271523178807944,0.8531882110188284
gpt-5.4-mini,cosine_sim_claim_evidence,0.34079742431640625,3.349609375,10000,0.6138209104537964,0.6105077266693115,0.6203415989875793,0.5886502265930176,0.36919720967610675
gpt-5.4-mini,nli_entailment,0.0001137563259444024,20.837962756548684,10000,0.34734346494795126,0.2076400700478443,0.26844772856656457,0.2758257971463295,0.0002862480910603276
gpt-5.4-mini,nli_contradiction,0.00019902921650332916,19.66632008354442,10000,0.4776394897553906,0.5673157549312874,0.44666574171202167,0.3746081799792399,0.0004312299690905465
gpt-5.4-mini,nli_neutral,9.239847225778418e-35,161.37835478666102,10000,0.175017044754373,0.2250441737435785,0.284886529579437,0.3495660250288429,9.609441114809556e-34
gpt-5.4-mini,nli_disagrees_with_fever,2.4276489718873604e-124,575.1738142492305,10000,0.2255892255892256,0.2770597738287561,0.711864406779661,0.7682119205298014,6.311887326907137e-123
